Lastname,Firstname,Title,Sex,Series,Rating,Published,Finished,Owned
McAuley, Paul,Eternal Light,M,Four Hundred Billion Stars,3,1991,22/12/2012,1
Banks, Iain M.,Feersum Endjinn,M,,3,1994,15/12/2012,1
Hyland, M.J.,How the Light Gets In,F,,4,2003,09/12/2012,0
Hoeg, Peter,Borderliners,M,,3,1993,06/12/2012,0
Duncan, Hal,Vellum ,M,The Book of All Hours,3,2005,02/12/2012,0
Wheen, Francis,Strange Days Indeed: The 1970s: The Golden Days of Paranoia,M,,3,2009,26/11/2012,0
Greene, Graham,The Heart of the Matter,M,,3,1948,07/11/2012,0
Mitchell, David,The Thousand Autumns of Jacob de Zoet,M,,5,2010,17/10/2012,0
Banks, Iain,Stonemouth,M,,2,2012,05/10/2012,0
McAuley, Paul,Four Hundred Billion Stars,M,Four Hundred Billion Stars,3,1988,28/09/2012,0
Priest, Christopher,The Islanders,M,,4,2011,23/09/2012,0
Mills, Magnus,The Scheme For Full Employment,M,,3,2002,15/09/2012,0
Moorcock, Michael,Mother London,M,,4,1988,10/09/2012,0
Dickens, Charles,A Tale of Two Cities,M,,3,1859,01/09/2012,1
Mitford, Nancy,Love in a Cold Climate,F,,4,1949,24/08/2012,0
Spark, Muriel,The Driver's Seat,F,,4,1970,18/08/2012,0
Ishiguro, Kazuo,An Artist of the Floating World,M,,4,1986,16/08/2012,0
McAuley, Paul,Cowboy Angels,M,,3,2007,12/08/2012,0
Fforde, Jasper,The Woman Who Died a Lot ,M,Thursday Next,2,2012,07/08/2012,0
Atwood, Margaret,The Year of the Flood,F,MaddAddam,3,2009,31/07/2012,1
Bester, Alfred,The Stars My Destination,M,,3,1955,24/07/2012,1
McEwan, Ian,"First Love, Last Rites",M,,3,1975,21/07/2012,1
Powers, Tim,The Anubis Gates,M,,2,1983,17/07/2012,1
Peace, David,Nineteen Seventy Four ,M,Red Riding,4,1999,10/07/2012,1
Fowles, John,Daniel Martin,M,,2,1977,06/07/2012,1
Carey, Peter,Oscar and Lucinda,M,,4,1988,30/06/2012,1
Bacigalupi, Paolo,The Windup Girl,M,,3,2009,20/06/2012,1
Hyland, M.J.,Carry Me Down,F,,4,2006,13/05/2012,0
Birch, Carol,Jamrach's Menagerie,F,,3,2011,06/05/2012,1
Hermann, Nellie,"Glimmer Train Stories, #73",M,,3,,28/04/2012,0
Bellow, Saul,Dangling Man,M,,2,1944,21/04/2012,1
Moore, Lorrie,A Gate at the Stairs,F,,4,2009,08/04/2012,1
Jacobson, Howard,The Finkler Question,M,,4,2010,29/03/2012,1
Carey, Peter,Theft: A Love Story,M,,4,2006,18/03/2012,1
Miéville, China,Embassytown,M,,4,2011,11/03/2012,1
Hemingway, Ernest,For Whom the Bell Tolls,M,,3,1940,04/03/2012,0
Murdoch, Iris,The Good Apprentice,F,,3,1985,25/02/2012,1
deWitt, Patrick,The Sisters Brothers,M,,4,2011,09/02/2012,1
Larsen, Reif,Selected Works Of T.S. Spivet,M,,4,2009,04/02/2012,1
Aaronovitch, Ben,Rivers of London,M,Peter Grant,3,2011,28/01/2012,1
Vonnegut, Kurt,Slaughterhouse-Five,M,,4,1969,24/01/2012,0
Stephenson, Neal,Cryptonomicon,M,,3,1999,21/01/2012,1
McAuley, Paul,White Devils,M,,4,2004,01/01/2012,1
Thomas, Scarlett,PopCo,F,,4,2004,01/01/2012,1
Susann, Jacqueline,Valley of the Dolls,F,,2,1966,24/12/2011,0
Self, Will,The Butt: An Exit Strategy,M,,4,2008,18/12/2011,1
Ryman, Geoff,Was,M,,4,1992,11/12/2011,1
Ishiguro, Kazuo,The Unconsoled,M,,3,1995,28/11/2011,0
Reynolds, Alastair,Chasm City,M,,3,2001,23/11/2011,0
Dick, Philip K.,A Scanner Darkly,M,,4,1977,10/11/2011,0
DeLillo, Don,Cosmopolis,M,,4,2003,08/11/2011,0
Frayn, Michael,Headlong,M,,1,1999,04/11/2011,0
Amis, Martin,Night Train,M,,4,1997,01/11/2011,0
Allende, Isabel,The House of the Spirits,F,,3,1982,30/10/2011,0
Hollinghurst, Alan,The Swimming-Pool Library,M,,3,1988,21/10/2011,0
Rajaniemi, Hannu,The Quantum Thief,M,Jean Le Flambeur,3,2010,16/10/2011,0
Carey, Peter,Jack Maggs,M,,3,1997,13/10/2011,0
Banks, Iain M.,Surface Detail,M,Culture,3,2010,07/10/2011,0
Fowles, John,The French Lieutenant's Woman,M,,3,1969,30/09/2011,1
Ballard, J.G.,Concrete Island,M,,3,1974,24/09/2011,0
Tartt, Donna,The Secret History,F,,3,1992,20/09/2011,1
Shteyngart, Gary,Super Sad True Love Story,M,,4,2010,14/09/2011,0
McCarthy, Tom,C,M,,3,2010,01/09/2011,0
Egan, Jennifer,A Visit from the Goon Squad,F,,5,2010,23/08/2011,0
Amis, Martin,The Rachel Papers,M,,3,1973,20/08/2011,0
Winterson, Jeanette,The PowerBook,F,,2,2000,17/08/2011,0
Spark, Muriel,The Ballad of Peckham Rye,F,,4,1960,15/08/2011,0
Auster, Paul,The Book of Illusions,M,,1,2002,12/08/2011,0
Tower, Wells,"Everything Ravaged, Everything Burned",M,,4,2009,11/08/2011,0
Moore, Lorrie,Who Will Run The Frog Hospital?,F,,4,1994,03/08/2011,0
Carey, Peter,Parrot and Olivier in America,M,,4,2009,29/07/2011,1
Miéville, China,Iron Council ,M,Bas-Lag,3,2004,16/07/2011,0
Spark, Muriel,The Prime of Miss Jean Brodie,F,,4,1961,09/07/2011,0
Carre, John le,A Most Wanted Man,M,,2,2008,30/06/2011,0
Harrison, M. John,Nova Swing,M,Kefahuchi Tract,4,2006,15/06/2011,1
Kureishi, Hanif,The Buddha of Suburbia,M,,4,1990,07/06/2011,0
Noon, Jeff,Nymphomation,M,,2,1997,18/05/2011,1
Niffenegger, Audrey,Her Fearful Symmetry,F,,3,2009,03/05/2011,0
MacLeod, Ken,The Star Fraction,M,The Fall Revolution,2,1995,27/04/2011,0
Carey, Peter,My Life as a Fake,M,,3,2003,26/04/2011,0
Waters, Sarah,Affinity,F,,2,1999,19/04/2011,0
Beukes, Lauren,Zoo City,F,,4,2010,13/04/2011,1
Ashworth, Jenn,A Kind of Intimacy,F,,3,2009,10/04/2011,1
Ackroyd, Peter,The Casebook of Victor Frankenstein,M,,2,2008,20/03/2011,0
Ryman, Geoff,The Child Garden,M,,3,1989,01/01/2011,1
Murdoch, Iris,The Unicorn,F,,4,1963,01/01/2011,0
Spark, Muriel,The Girls of Slender Means,F,,4,1963,01/01/2011,0
Jacobson, Howard,The Mighty Walzer,M,,4,1999,22/09/2010,0
Chesterton, G.K.,Napolean Of Notting Hill,M,,2,1904,12/09/2010,0
Doctorow, Cory,Makers,M,,1,2009,02/09/2010,0
Borges, Jorge Luis,Labyrinths: Selected Stories and Other Writings,M,,4,1962,26/08/2010,0
Atwood, Margaret,Oryx and Crake,F,,4,2003,18/08/2010,1
Pynchon, Thomas,Vineland,M,,3,1990,12/08/2010,0
Miéville, China,Kraken,M,,3,2010,06/08/2010,0
Chabon, Michael,Gentlemen of the Road,M,,3,2007,29/07/2010,1
Fforde, Jasper,Shades of Grey,M,,3,2009,21/07/2010,0
Calvino, Italo,Invisible Cities,M,,4,1972,16/07/2010,0
Rushdie, Salman,Fury,M,,4,2001,07/07/2010,0
Byatt, A.S.,Possession,F,,4,1990,26/06/2010,0
MacLeod, Ken,The Night Sessions,M,,3,2008,17/06/2010,0
Cohen, Leonard,Beautiful Losers,M,,3,1966,11/06/2010,1
Mills, Magnus,The Restraint of Beasts,M,,2,1998,25/05/2010,0
Reynolds, Alastair,Revelation Space,M,,3,2000,18/05/2010,1
Thomas, Scarlett,Our Tragic Universe,F,,4,2010,01/01/2010,0
Faber, Michel,The Fire Gospel,M,,3,2008,01/01/2010,0
Ryman, Geoff,Air,M,,4,2004,01/01/2010,0
Ryman, Geoff,253,M,,4,1998,01/01/2010,0
Pessl, Marisha,Special Topics in Calamity Physics,F,,3,2006,01/01/2009,0
Dibdin, Michael,Ratking,M,Aurelio Zen,0,1988,,0
Stephenson, Neal,Quicksilver,M,Baroque Cycle,3,2003,,1
Stephenson, Neal,The Confusion,M,Baroque Cycle,4,2004,,0
Stephenson, Neal,The System of the World ,M,Baroque Cycle,4,2004,,0
Miéville, China,Perdido Street Station ,M,Bas-Lag,4,2000,,1
Miéville, China,The Scar ,M,Bas-Lag,4,2002,,0
Wolfe, Gene,Shadow & Claw,M,Book of the New Sun,4,1994,,0
Wolfe, Gene,Sword & Citadel ,M,Book of the New Sun,4,1994,,0
Banks, Iain M.,Consider Phlebas ,M,Culture,2,1987,,0
Banks, Iain M.,The Player of Games ,M,Culture,3,1988,,0
Banks, Iain M.,Use of Weapons ,M,Culture,4,1990,,1
Banks, Iain M.,Excession ,M,Culture,3,1996,,0
Banks, Iain M.,Inversions ,M,Culture,3,1998,,0
Banks, Iain M.,Look to Windward ,M,Culture,4,2000,,1
Banks, Iain M.,Matter,M,Culture,3,2008,,0
Pratchett, Terry,The Color of Magic ,M,Discworld,2,1983,,0
Pratchett, Terry,Moving Pictures ,M,Discworld,3,1990,,0
Pratchett, Terry,Reaper Man,M,Discworld,3,1991,,0
Pratchett, Terry,Witches Abroad ,M,Discworld,3,1991,,0
Pratchett, Terry,Small Gods,M,Discworld,3,1992,,0
Pratchett, Terry,Lords and Ladies,M,Discworld,3,1992,,0
Pratchett, Terry,Men at Arms ,M,Discworld,4,1993,,0
Pratchett, Terry,Soul Music ,M,Discworld,,,,
Pratchett, Terry,Interesting Times ,M,Discworld,4,1994,,1
Pratchett, Terry,Maskerade,M,Discworld,4,1995,,1
Pratchett, Terry,Feet of Clay,M,Discworld,2,1996,,0
Pratchett, Terry,The Light Fantastic ,M,Discworld,2,1986,,0
Pratchett, Terry,Hogfather,M,Discworld,3,1996,,0
Pratchett, Terry,Jingo ,M,Discworld,5,1997,,1
Pratchett, Terry,The Last Continent,M,Discworld,2,1998,,1
Pratchett, Terry,Carpe Jugulum ,M,Discworld,2,1998,,0
Pratchett, Terry,The Fifth Elephant,M,Discworld,3,1999,,1
Pratchett, Terry,The Truth ,M,Discworld,0,2000,,1
Pratchett, Terry,Thief of Time,M,Discworld,3,2001,,0
Pratchett, Terry,Night Watch ,M,Discworld,4,2002,,0
Pratchett, Terry,Equal Rites ,M,Discworld,4,1987,,0
Pratchett, Terry,Thud!,M,Discworld,3,2005,,0
Pratchett, Terry,Making Money,M,Discworld,3,2007,,0
Pratchett, Terry,Unseen Academicals,M,Discworld,3,2007,,0
Pratchett, Terry,Mort,M,Discworld,4,1987,,0
Pratchett, Terry,Sourcery,M,Discworld,0,1988,,0
Pratchett, Terry,Wyrd Sisters,M,Discworld,3,1988,,0
Pratchett, Terry,Pyramids,M,Discworld,0,1989,,0
Pratchett, Terry,Guards! Guards! ,M,Discworld,4,1989,,0
Pratchett, Terry,Eric ,M,Discworld,3,1990,,0
Pratchett, Terry,Soul Music ,M,Discworld,3,1994,,0
Dahlquist, Gordon,The Glass Books of the Dream Eaters,M,Dream Eaters,3,2006,,0
Dahlquist, Gordon,The Dark Volume,M,Dream Eaters,2,2008,,0
Herbert, Frank,Dune,M,Dune,4,1965,,1
Herbert, Frank,Dune Messiah,M,Dune,2,1969,,1
Buchan, John,Sick Heart River ,M,Edward Leithen,0,1941,,1
Fraser, George MacDonald,Flashman ,M,Flashman,3,1969,,1
Fraser, George MacDonald,Flashman and the Angel of the Lord ,M,Flashman,3,1994,,0
Fraser, George MacDonald,Flash for Freedom! ,M,Flashman,3,1971,,0
Fraser, George MacDonald,Flashman's Lady ,M,Flashman,4,1977,,0
Peake, Mervyn,Titus Groan,M,Gormenghast,,1959,,
Peake, Mervyn,Gormenghast,M,Gormenghast,5,1959,,1
Peake, Mervyn,Titus Alone,M,Gormenghast,,1959,,
Rowling, J.K.,Harry Potter and the Prisoner of Azkaban ,F,Harry Potter,4,1999,,0
Rowling, J.K.,Harry Potter and the Goblet of Fire,F,Harry Potter,3,2000,,0
Rowling, J.K.,Harry Potter and the Order of the Phoenix,F,Harry Potter,3,2003,,0
Rowling, J.K.,Harry Potter and the Half-Blood Prince,F,Harry Potter,3,2005,,0
Rowling, J.K.,Harry Potter and the Deathly Hallows ,F,Harry Potter,2,2007,,0
Pullman, Philip,The Golden Compass ,M,His Dark Materials,4,1995,,0
Pullman, Philip,The Subtle Knife ,M,His Dark Materials,3,1996,,0
Pullman, Philip,The Amber Spyglass,M,His Dark Materials,2,2000,,0
Hunt, Stephen,The Court of the Air ,M,Jackelian,1,2007,,0
Harrison, M. John,Light ,M,Kefahuchi Tract,4,2002,,1
Atwood, Margaret,Oryx and Crake,F,MaddAddam,4,2003,,2
Chandler, Raymond,The Big Sleep,M,Philip Marlowe,4,1939,,0
Chandler, Raymond,"Farewell, My Lovely ",M,Philip Marlowe,4,1940,,0
Chandler, Raymond,The Long Goodbye ,M,Philip Marlowe,4,1953,,0
Buchan, John,The 39 Steps ,M,Richard Hannay,4,1915,,1
Buchan, John,Greenmantle,M,Richard Hannay,0,1916,,0
Buchan, John,Mr. Standfast ,M,Richard Hannay,0,1919,,0
Buchan, John,The Three Hostages ,M,Richard Hannay,0,1924,,1
Gaiman, Neil,Preludes and Nocturnes,M,Sandman,3,1988,,0
Gaiman, Neil,The Doll's House ,M,Sandman,4,1990,,0
Gaiman, Neil,Dream Country,M,Sandman,3,1991,,0
Gaiman, Neil,Season of Mists ,M,Sandman,3,1990,,0
Lewis, C.S.,Out of the Silent Planet ,M,Space,3,1938,,1
Lewis, C.S.,Perelandra,M,Space,3,1944,,0
Lewis, C.S.,That Hideous Strength ,M,Space,2,1945,,0
Gibson, William,Neuromancer,M,Sprawl,1,1984,,1
MacLeod, Ken,The Sky Road,M,The Fall Revolution,4,1999,,1
Fforde, Jasper,The Eyre Affair ,M,Thursday Next,4,2001,,1
Fforde, Jasper,Lost in a Good Book,M,Thursday Next,3,2002,,1
Fforde, Jasper,The Well of Lost Plots,M,Thursday Next,3,2003,,1
Fforde, Jasper,Something Rotten ,M,Thursday Next,4,2004,,0
Fforde, Jasper,First Among Sequels,M,Thursday Next,3,2007,,0
Bacigalupi, Paolo,The Windup Girl,M,,3,2009,,1
Banks, Iain M.,Transition,M,,3,2009,,0
Coupland, Douglas,Generation A,M,,2,2009,,0
Foulds, Adam,The Quickening Maze,M,,3,2009,,1
Maitland, Karen,The Owl Killers,F,,3,2009,,0
Miéville, China,The City & the City,M,,4,2009,,1
Canter, Jon,A Short Gentleman,M,,3,2008,,0
Harkaway, Nick,The Gone-Away World,M,,4,2008,,1
Maitland, Karen,Company of Liars,F,,4,2008,,1
Rushdie, Salman,The Enchantress Of Florence,M,,3,2008,,0
Stephenson, Neal,Anathem,M,,3,2008,,0
Summerscale, Kate,The Suspicions of Mr. Whicher,F,,2,2008,,0
Winthrop, Elizabeth Hartley,December,F,,2,2008,,0
Chabon, Michael,The Yiddish Policemen's Union,M,,4,2007,,0
Coe, Jonathan,The Rain Before it Falls,M,,2,2007,,0
Coetzee, J.M.,Diary of a Bad Year,M,,3,2007,,1
Conrad, Joseph,The Nigger of the 'Narcissus' and Other Stories,M,,3,2007,,0
DeLillo, Don,Falling Man,M,,2,2007,,1
Faulks, Sebastian,Engleby,M,,3,2007,,0
Fraser, George MacDonald,The Reavers,M,,2,2007,,1
Garner, Elizabeth,The Ingenious Edgar Jones,F,,3,2007,,0
Hyland, M.J.,This Is How,F,,3,2007,,1
Miéville, China,Un Lun Dun,M,,2,2007,,0
West, Clare,Cold Comfort Farm,F,,4,2007,,1
Winterson, Jeanette,The Stone Gods,F,,3,2007,,0
Amis, Martin,House of Meetings,M,,3,2006,,0
Ballard, J.G.,Kingdom Come,M,,4,2006,,0
Clarke, Susanna,The Ladies of Grace Adieu and Other Stories,F,,3,2006,,1
Cox, Michael,The Meaning of Night,M,,3,2006,,0
Eisenberg, Deborah,Twilight of the Superheroes,F,,3,2006,,1
Fforde, Jasper,The Fourth Bear,M,,4,2006,,0
Gaiman, Neil,Fragile Things: Short Fictions and Wonders,M,,3,2006,,0
Hoeg, Peter,The Quiet Girl,M,,1,2006,,0
Jacobson, Howard,Kalooki Nights,M,,3,2006,,0
McCarthy, Cormac,The Road,M,,1,2006,,0
McGuire, Ian,Incredible Bodies,M,,3,2006,,1
Munro, Alice,The View from Castle Rock,F,,2,2006,,1
Robertson, James,The Testament of Gideon Mack,M,,4,2006,,0
Rubenfeld, Jed,The Interpretation of Murder,M,,2,2006,,0
Self, Will,The Book of Dave: A Revelation of the Recent Past and the Distant Future,M,,3,2006,,0
Thomas, Scarlett,The End of Mr. Y,F,,3,2006,,0
Atwood, Margaret,The Penelopiad,F,,2,2005,,0
Ballard, J.G.,J.G. Ballard Conversations,M,,4,2005,,1
Banks, Iain,The Steep Approach to Garbadale,M,,2,2005,,0
Fforde, Jasper,The Big Over Easy ,M,,4,2005,,0
Gaiman, Neil,Anansi Boys,M,,4,2005,,0
Ishiguro, Kazuo,Never Let Me Go,M,,4,2005,,0
Kostova, Elizabeth,The Historian,F,,2,2005,,0
McCarthy, Cormac,No Country For Old Men,M,,2,2005,,0
Miéville, China,Looking for Jake,M,,3,2005,,0
Mills, Magnus,Explorers of the New Century,M,,2,2005,,0
Rushdie, Salman,Shalimar the Clown,M,,4,2005,,0
Winterson, Jeanette,Weight: The Myth of Atlas and Heracles,F,,2,2005,,0
Zusak, Markus,The Book Thief,M,,3,2005,,1
Banks, Iain M.,The Algebraist,M,,2,2004,,0
Chabon, Michael,The Final Solution,M,,3,2004,,0
Clarke, Susanna,Jonathan Strange & Mr Norrell,F,,5,2004,,1
Eco, Umberto,The Mysterious Flame of Queen Loana,M,,2,2004,,1
Hollinghurst, Alan,The Line of Beauty,M,,4,2004,,1
Mitchell, David,Cloud Atlas,M,,4,2004,,1
Murakami, Haruki,After Dark,M,,2,2004,,0
Roth, Philip,The Plot Against America,M,,3,2004,,0
Sinclair, Iain,Dining on Stones,M,,3,2004,,0
Auster, Paul,Oracle Night,M,,2,2003,,0
Ballard, J.G.,Millennium People,M,,4,2003,,1
Brown, Dan,The Da Vinci Code ,M,,1,2003,,0
Chabon, Michael,McSweeney's Mammoth Treasury of Thrilling Tales,M,,3,2003,,0
Haddon, Mark,The Curious Incident of the Dog in the Night-Time,M,,3,2003,,0
Niffenegger, Audrey,The Time Traveler's Wife,F,,3,2003,,0
Pryce, Malcolm,Last Tango in Aberystwyth ,M,,2,2003,,0
Banks, Iain,Dead Air,M,,3,2002,,1
Gaiman, Neil,Coraline,M,,3,2002,,0
Murakami, Haruki,Kafka on the Shore,M,,5,2002,,0
Priest, Christopher,The Separation,M,,3,2002,,0
Sebold, Alice,The Lovely Bones,F,,2,2002,,0
Self, Will,Dorian,M,,3,2002,,0
Tartt, Donna,The Little Friend,F,,3,2002,,1
Ballard, J.G.,The Complete Short Stories,M,,5,2001,,1
Gaiman, Neil,American Gods ,M,,3,2001,,1
Gold, Glen David,Carter Beats the Devil,M,,3,2001,,1
Martel, Yann,Life of Pi,M,,2,2001,,0
Mitchell, David,number9dream,M,,4,2001,,0
Zafon, Carlos Ruiz,The Shadow of the Wind ,M,,3,2001,,0
Atwood, Margaret,The Blind Assassin,F,,5,2000,,1
Ballard, J.G.,Super-Cannes,M,,4,2000,,0
Carre, John le,The Constant Gardener,M,,3,2000,,0
Chabon, Michael,The Amazing Adventures of Kavalier & Clay,M,,4,2000,,1
Eco, Umberto,Baudolino,M,,4,2000,,1
Harrison, M. John,Viriconium,M,,5,2000,,1
Ishiguro, Kazuo,When We Were Orphans,M,,4,2000,,0
Kneale, Matthew,English Passengers,M,,4,2000,,0
Lessing, Doris,"Ben, In the World",F,,2,2000,,0
Self, Will,How the Dead Live,M,,4,2000,,0
Ackroyd, Peter,The Plato Papers,M,,2,1999,,0
Banks, Iain,The Business,M,,2,1999,,0
Chabon, Michael,Werewolves in Their Youth,M,,3,1999,,0
Mitchell, David,Ghostwritten,M,,4,1999,,0
Robson, Justina,Silver Screen,F,,0,1999,,0
Rushdie, Salman,The Ground Beneath Her Feet,M,,4,1999,,0
Gaiman, Neil,Smoke and Mirrors: Short Fiction and Illusions,M,,3,1998,,0
McEwan, Ian,Amsterdam,M,,3,1998,,0
Mills, Magnus,The Restraint of Beasts,M,,2,1998,,0
Roth, Philip,I Married a Communist,M,,3,1998,,0
Banks, Iain,A Song of Stone,M,,2,1997,,0
McEwan, Ian,Enduring Love,M,,3,1997,,0
Atwood, Margaret,Alias Grace,F,,3,1996,,1
Ballard, J.G.,Cocaine Nights,M,,4,1996,,0
Gaiman, Neil,Neverwhere,M,,4,1996,,1
Garcia-Roza, Luiz Alfredo,The Silence of the Rain,M,,2,1996,,0
Michaels, Anne,Fugitive Pieces,F,,0,1996,,1
Saunders, George,CivilWarLand in Bad Decline,M,,4,1996,,1
Amis, Martin,The Information,M,,3,1995,,1
Banks, Iain,Whit,M,,3,1995,,0
Carter, Angela,Burning Your Boats: The Collected Short Stories,F,,5,1995,,1
Chabon, Michael,Wonder Boys,M,,5,1995,,0
Priest, Christopher,The Prestige,M,,3,1995,,0
Sebald, W.G.,The Rings of Saturn,M,,3,1995,,1
Stephenson, Neal,The Diamond Age,M,,4,1995,,1
Ackroyd, Peter,Dan Leno & The Limehouse Golem,M,,2,1994,,0
Ballard, J.G.,Rushing to Paradise,M,,3,1994,,0
Eco, Umberto,The Island of the Day Before,M,,3,1994,,0
Heller, Joseph,Closing Time,M,,3,1994,,0
Murakami, Haruki,The Wind-Up Bird Chronicle,M,,2,1994,,1
Ackroyd, Peter,House of Doctor Dee,M,,2,1993,,0
Atwood, Margaret,The Robber Bride,F,,4,1993,,0
Banks, Iain,Complicity,M,,2,1993,,0
Banks, Iain M.,Against a Dark Background,M,,3,1993,,1
Burgess, Anthony,A Dead Man in Deptford,M,,4,1993,,0
Self, Will,My Idea of Fun,M,,3,1993,,0
Banks, Iain,The Crow Road,M,,4,1992,,1
Carter, Angela,Angela Carter's Book of Fairy Tales,F,,4,1992,,1
Harrison, M. John,The Course of the Heart,M,,4,1992,,1
Hoeg, Peter,Miss Smilla's Feeling for Snow,M,,4,1992,,0
Nicholl, Charles,The Reckoning: The Murder of Christopher Marlowe,M,,0,1992,,0
Ballard, J.G.,The Kindness of Women ,M,,3,1991,,1
Bonfiglioli, Kyril,The Mortdecai Trilogy,M,,4,1991,,0
Carter, Angela,Wise Children,F,,3,1991,,0
Chabon, Michael,A Model World and Other Stories,M,,3,1991,,1
Lodge, David,Paradise News,M,,0,1991,,0
Self, Will,The Quantity Theory of Insanity,M,,3,1991,,0
Sinclair, Iain,Downriver,M,,3,1991,,0
Gibson, William,The Difference Engine,M,,2,1990,,0
McEwan, Ian,The Innocent,M,,3,1990,,0
Pratchett, Terry,Good Omens,M,,4,1990,,0
Pynchon, Thomas,Vineland,M,,3,1990,,0
Rushdie, Salman,Haroun and the Sea of Stories,M,,4,1990,,0
Banks, Iain,Canal Dreams,M,,2,1989,,1
Cave, Nick,And the Ass Saw the Angel,M,,3,1989,,1
Ishiguro, Kazuo,The Remains of the Day,M,,4,1989,,0
Ballard, J.G.,Running Wild,M,,3,1988,,0
Burgess, Anthony,Any Old Iron,M,,4,1988,,0
Chabon, Michael,The Mysteries of Pittsburgh,M,,3,1988,,0
Coelho, Paulo,The Alchemist,M,,1,1988,,0
Eco, Umberto,Foucault's Pendulum,M,,5,1988,,0
Lodge, David,Nice Work,M,,0,1988,,0
Murakami, Haruki,Dance Dance Dance,M,,3,1988,,1
Rushdie, Salman,The Satanic Verses,M,,4,1988,,1
Auster, Paul,The New York Trilogy,M,,3,1987,,0
Ballard, J.G.,The Day of Creation,M,,3,1987,,0
Banks, Iain,Espedair Street,M,,3,1987,,0
Moore, Alan,Watchmen,M,,4,1987,,0
Murakami, Haruki,Norwegian Wood,M,,3,1987,,0
Winterson, Jeanette,The Passion,F,,4,1987,,0
Ackroyd, Peter,Milton in America,M,,3,1986,,0
Amis, Kingsley,The Old Devils,M,,3,1986,,0
Banks, Iain,The Bridge,M,,4,1986,,1
Carre, John le,A Perfect Spy,M,,0,1986,,0
Moore, Lorrie,Anagrams,F,,4,1986,,0
Seth, Vikram,The Golden Gate,M,,3,1986,,0
Ackroyd, Peter,Hawksmoor,M,,3,1985,,0
Atwood, Margaret,The Handmaid's Tale,F,,4,1985,,1
Banks, Iain,Walking on Glass,M,,4,1985,,0
Lessing, Doris,The Good Terrorist,F,,4,1985,,0
Murakami, Haruki,Hard-Boiled Wonderland and the End of the World,M,,4,1985,,0
Suskind, Patrick,Perfume: The Story of a Murderer,M,,4,1985,,1
Vonnegut, Kurt,Galapagos,M,,2,1985,,1
Amis, Martin,Money: A Suicide Note,M,,4,1984,,0
Ballard, J.G.,Empire of the Sun,M,,4,1984,,1
Banks, Iain,The Wasp Factory,M,,3,1984,,0
Heller, Joseph,God Knows,M,,3,1984,,0
Priest, Christopher,The Glamour,M,,3,1984,,0
Calvino, Italo,Fantastic Tales: Visionary and Everyday,M,,0,1983,,1
Mamet, David,Glengarry Glen Ross,M,,4,1983,,0
Levi, Primo,"If Not Now, When?",M,,0,1982,,0
Ballard, J.G.,Hello America,M,,4,1981,,0
James, Henry,The Turn of the Screw and Other Short Fiction,M,,3,1981,,1
Rushdie, Salman,Midnight's Children,M,,3,1981,,1
Eco, Umberto,The Name of the Rose,M,,4,1980,,1
Ballard, J.G.,The Unlimited Dream Company,M,,4,1979,,1
Levi, Primo,If This Is a Man / The Truce,M,,0,1979,,0
McEwan, Ian,The Cement Garden,M,,3,1978,,0
Murdoch, Iris,"The Sea, the Sea",F,,4,1978,,1
Carter, Angela,The Passion of New Eve,F,,4,1977,,0
Amis, Kingsley,The Alteration,M,,4,1976,,0
Ballard, J.G.,High-Rise,M,,4,1975,,1
Lodge, David,Changing Places,M,,0,1975,,0
Mamet, David,American Buffalo,M,,4,1975,,0
Murdoch, Iris,A Word Child,F,,2,1975,,1
Fowles, John,The Ebony Tower,M,,4,1974,,1
Ballard, J.G.,Crash,M,,3,1973,,1
Garner, Alan,Red Shift,M,,0,1973,,0
Greene, Graham,The Honorary Consul,M,,3,1973,,0
Murdoch, Iris,The Black Prince,F,,4,1973,,0
Burgess, Anthony,Mf,M,,3,1971,,0
Murdoch, Iris,An Accidental Man,F,,4,1971,,0
Rhinehart, Luke,The Dice Man,M,,1,1971,,1
Thompson, Hunter S.,Fear and Loathing in Las Vegas,M,,4,1971,,1
Ballard, J.G.,The Atrocity Exhibition,M,,3,1970,,0
Greene, Graham,Travels With My Aunt,M,,3,1969,,0
Amis, Kingsley,Colonel Sun,M,,0,1968,,0
Mishima, Yukio,Spring Snow,M,,3,1968,,0
Carter, Angela,The Magic Toyshop,F,,3,1967,,0
Dick, Philip K.,Counter-Clock World,M,,2,1967,,0
Garner, Alan,The Owl Service,M,,0,1967,,0
Ballard, J.G.,The Crystal World,M,,4,1966,,1
Bulgakov, Mikhail,The Master and Margarita,M,,5,1966,,0
Carter, Angela,Shadow Dance,F,,3,1966,,0
Greene, Graham,The Comedians,M,,4,1966,,0
Bulgakov, Mikhail,Black Snow,M,,3,1965,,0
Fowles, John,The Magus,M,,5,1965,,1
Garner, Alan,Elidor,M,,0,1965,,0
Lodge, David,The British Museum Is Falling Down,M,,0,1965,,0
Pynchon, Thomas,The Crying of Lot 49,M,,2,1965,,0
Williams, Tennessee,A Streetcar Named Desire and Other Plays,M,,4,1965,,1
Aldiss, Brian W.,Greybeard,M,,3,1964,,0
Ballard, J.G.,The Drought ,M,,4,1964,,0
Golding, William,The Spire,M,,3,1964,,0
Fowles, John,The Collector,M,,3,1963,,1
Vonnegut, Kurt,Cat's Cradle,M,,3,1963,,0
Albee, Edward,Who's Afraid of Virginia Woolf?,M,,4,1962,,0
